অভ্যর্থনাকারী	obhyorthonakari	ovvorthonakari	obhyarthonakari	obhyortho-nakari	obhyarthanakari
অভ্যন্তরস্থ	obhyontorostho	ovvontorostho	obhyantorostho	obhyontoro-stho	obhyantarastha
অভ্যুদ্ভূত	obhyudbhuto	ovvudbhuto	obhyudvuto	obhyud-bhuto	abhyudbhuta
অধঃপতন	odhopoton	adhahpoton	odho-poton	odhopaton	adhahpatana
অধীনস্থ	odhinstho	odhinastho	odhin-stho	odhinstho	adhinasta
অধিষ্ঠিত	odhishthito	adhishthito	odhisthito	odhish-thito	adhishthita
অনিবার্য	onibarjo	anibarjo	onibaryo	onibarjyo	anibarya
অনির্বাণ	onirban	anirban	onirbaan	onir-baan	anirbana
অনুগ্রহপূর্বক	onugrohopurbok	anugrahapurbak	onugroho-purbok	anugrahopurbaka	onugrohopurboK
অনুধাবনযোগ্য	onudhabonjoggo	anudhabon-joggo	onudhabonyoggo	anudhabanayogya	onudhabonjoggo
অনুস্বারযুক্ত	onushsharjukto	onuswarjukto	onushshar-jukto	anuswarayukta	onuswarjukto
অন্তরীক্ষযান	ontorikkhojan	antorikkhojan	ontorikkho-jan	antarikshayan	ontorikkhojan
অন্তর্নিহিত	ontornnihito	ontornhito	antornhito	ontor-nihito	antarnhita
অন্তর্বিষয়ক	ontorbishoyok	ontorbishayok	antarbishayok	ontor-bishoyok	antarvishayak
অন্তঃসারশূন্য	ontosarshunno	ontohsarshunno	antosarshunno	onto-sar-shunno	antahsarasunya
অপ্রতিদ্বন্দ্বিতা	oprotidwondita	apratidwondita	oproti-dwondita	apratidvandwita	aprotidwondita
অপ্রতিরোধ্য	oprotiroddho	apratirodhyo	oprotirodhdho	oproti-rodhdho	apratirodhya
অবকেন্দ্রিক	obokendrik	abakendrik	obo-kendrik	abakendrika	obokendrik
অবিচ্ছেদ্যতা	obichchhedyota	obicchedyota	obichchhed-jota	abichchhedyata	obichchhedyota
অবজ্ঞাসূচক	oboggasuchok	oboggyasuchok	obojnasuchok	obogga-suchok	abajnyasuchaka
অবনতিশীল	obonotishil	abanotishil	obonoti-shil	abanatishil	obonotishil
অবর্ণনীয়	obornoniyo	abornoniyo	obornonio	obornoniya	abarnaniya
অভিভাবকত্ব	obhibhabokotto	obhibhaboktotto	abhivabakatwa	obhibhabok-totto	abhivabakatwa
অভিশংসন	obhishongshon	obhishonshon	abhishongshon	obhishong-shon	abhishamsana
অমূল্যায়ন	omullayon	amulyayon	omulloyon	omullya-yon	amulyayana
অমৃত্যুঞ্জয়	omrittyunjoy	omrityunjoy	amrityunjoy	omrittu-njoy	amrityunjaya
অশ্বারোহী	oshsharohi	aswarohi	oshwarohi	oshsho-rohi	aswarohi
অষ্টপ্রহর	oshtoprohor	ashtoprohor	oshto-prohor	ashtaprahar	oshtoprohor
আকাঙ্ক্ষাপূরণ	akankkhapuron	akangkshapuron	akanksha-puron	akankkha-puron	akankshapuran
আত্মপ্রকাশ	attoprokash	atmoprokash	atto-prokash	atmaprakash	attoprokash
আত্মরক্ষামূলক	attorokkhamulok	atmarakshamulok	atto-rokkha-mulok	atmarakshamulaka	attorokkhamulok
আত্মসচেতনতা	attosochetonota	atmasachetanata	atto-sochetonota	atmasachetanata	attosochetonota
আত্মসম্মানবোধ	attoshommanbodh	atmasammanbodh	atto-shomman-bodh	atmasammanabodh	attoshommanbodh
আধ্যাত্মিকতা	addhattikota	adhyatmikota	addhatmikota	addhatto-mikota	adhyatmikata
আয়ত্তকরণ	ayottokoron	ayattokoron	ayotto-koron	ayattakaran	ayottokoron
আলিঙ্গনাবদ্ধ	alinggonaboddho	alinganabaddho	alinggono-boddho	alinganabaddha	alinggonaboddho
ইচ্ছাশক্তি	icchashokti	ichchhashokti	iccha-shokti	ichhashakti	ichchhashokti
ইন্দ্রিয়সংবেদন	indriyosongbedon	indriyosangbedon	indriyo-songbedon	indriyasangbedan	indriyosongbedon
উচ্ছৃঙ্খলতা	ucchhrinkholota	uchchhrinkholota	ucchringkholota	ucchhrinkholo-ta	uchchhrinkhalata
উদ্ভিদবিজ্ঞান	udbhidhbiggan	udbhidbiggan	udbhido-biggan	udbhida-bigyan	udbhidhbiggan
উদ্বায়ীতা	udbayita	udvayita	udbayi-ta	udvayita	udbayitA
উদ্বৃত্তাংশ	udbrittangsho	udvrittansho	udbritto-angsho	udvrittansha	udbrittangsho
উপযোগিতাবাদ	upojogitabAd	upayogitabAd	upojogita-bad	upayogitabad	upojogitabAd
উপস্থাপনাপর্ব	uposthaponaporbo	upasthapanaparba	uposthapona-porbo	upasthapanaparba	uposthaponaporbo
ঊর্ধ্বাধর	urdhwadhor	urdhwadhar	urdho-dhor	urdhwadhara	urdhwadhor
ঋজুতাপূর্ণ	rijutapurno	rijutapurna	riju-ta-purno	rijutapurNa	rijutapurno
একীভূতকরণ	ekibhutokoron	ekibhutkoron	ekibhooto-koron	ekibhutakaran	ekibhutokoron
ঐক্যসংহতি	oikkoshonghoti	oikyosonghoti	oikko-songhoti	aikyasamhati	oikkoshonghoti
ঔপনিবেশিক	ouponibeshik	aupanibeshik	oupo-nibeshik	aupanibeshika	ouponibeshik
কক্ষপথচ্যুত	kokkhopothchyuto	kakkhopothchyuto	kokkho-poth-chyuto	kakshapathchyuta	kokkhopothchyuto
কণ্ঠস্বরনিয়ন্ত্রণ	konthosshorniyontron	konthosworniyontron	kontho-swor-niyontron	kanthaswaraniyantran	konthosworniyontron
কর্তৃত্ববাদ	kortittobad	korttritwobad	kortitto-bad	kartritwabad	kortittobad
কল্পনাশক্তি	kolponashokti	kalponashokti	kolpona-shokti	kalpanashakti	kolponashokti
কৃষ্ণপক্ষীয়	krishnopokkhiYo	krishnapakshiyo	krishno-pokkhiYo	krishnapakshiya	krishnopokkhiYo
কেন্দ্রস্থাপন	kendrosthapon	kendrasthapon	kendro-sthapon	kendrasthapan	kendrosthapon
ক্ষতচিহ্ন	khotochihno	kshatachihno	khoto-chihno	kshatachinha	khotochihno
ক্ষতিগ্রস্ততা	khotigrostota	kshatigrastota	khoti-grostota	kshatigrastata	khotigrostota
ক্ষুদ্রায়ন	khudrayan	kshudrayan	khudro-yan	kshudrayana	khudrayan
ক্ষমতাচ্যুতি	khomotachyuti	kshamatachyuti	khomota-chyuti	kshamatachyuti	khomotachyuti
খ্যাতিমান	khyatiman	khyatimAn	khyati-man	khyatimaan	khyatiman
খ্রিস্টধর্মাবলম্বী	khristodhormabolombi	khristodharmabolombi	khristo-dhormo-bolombi	khristadharmabalambi	khristodhormabolombi
গণতান্ত্রিকতা	gonotantrikota	ganatantrikota	gono-tantrikota	ganatantrikata	gonotantrikota
গণ্যমান্যব্যক্তি	gonyomannyobekti	ganyamanyabyakti	gonyo-mannyo-bekti	ganyamanyabyakti	gonyomannyobekti
গভীরতানির্ণয়	gobhirotanirnoy	gobhiratanirnoy	gobhirota-nirnoy	gabhiratanirnaya	gobhirotanirnoy
গর্ভজাতশিশু	gorbhojatoshishu	garbhajatoshishu	gorbho-jato-shishu	garbhajatashishu	gorbhojatoshishu
গ্রন্থপঞ্জিভুক্ত	gronthoponjibhukto	granthaponjibhukto	grontho-ponji-bhukto	granthaponjibhukta	gronthoponjibhukto
গ্রাহকসংশ্লিষ্ট	grahokshongshlishto	grahakasangshlishto	grahok-shongshlishto	grahakasangshlishta	grahokshongshlishto
ঘনত্বনির্ভর	ghonottonirvor	ghanatwanirbhar	ghonotto-nirvor	ghanatwanirbhar	ghonottonirvor
